"INCIDENT_KEY","OCCUR_DATE","OCCUR_TIME","BORO","PRECINCT","JURISDICTION_CODE","LOCATION_DESC","STATISTICAL_MURDER_FLAG","PERP_AGE_GROUP","PERP_SEX","PERP_RACE","VIC_AGE_GROUP","VIC_SEX","VIC_RACE","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","number"
235740736,"10/30/21","23:56:00","BRONX",45,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"18-24","M","BLACK","25-44","M","BLACK",1032218,239444,40.82377203,-73.82668524,701
227344204,"4/24/21","00:12:00","BRONX",46,0,"",FALSE,"","","","18-24","M","BLACK HISPANIC",1012262,250089,40.85307528,-73.89874498,701
231008087,"7/16/21","18:15:00","QUEENS",101,0,"",FALSE,"","","","25-44","M","BLACK",1051113,160811,40.60782135,-73.75919584,296
230719148,"7/11/21","03:58:00","BRONX",44,0,"",FALSE,"","","","25-44","M","BLACK",1006717,244842,40.83868966,-73.91880636,701
235964852,"11/6/21","22:50:00","BROOKLYN",73,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"","","","25-44","M","BLACK",1009588,187367,40.68092785,-73.90864726,631
236363733,"11/16/21","22:39:00","MANHATTAN",14,0,"",FALSE,"<18","M","BLACK","18-24","M","BLACK",988590,213119,40.75164613,-73.98433731,343
230210692,"6/29/21","00:13:00","BRONX",52,0,"",FALSE,"","","","18-24","M","BLACK",1019293,259727,40.87950353,-73.87327928,701
228258633,"5/15/21","23:25:00","MANHATTAN",14,0,"GROCERY/BODEGA",FALSE,"25-44","F","BLACK","25-44","M","BLACK",986382,213900,40.75379058,-73.99230628,343
228559720,"5/22/21","18:39:00","BRONX",48,0,"",FALSE,"","","","18-24","M","BLACK",1016391,249523,40.85150771,-73.88382239,701
228586949,"5/23/21","22:13:00","MANHATTAN",28,0,"",FALSE,"","","","<18","M","BLACK",997123,233286,40.80699091,-73.95350096,343
223505521,"1/23/21","18:00:00","QUEENS",103,0,"",FALSE,"","","","25-44","M","BLACK",1051973,197573,40.70871805,-73.75572939,296
233897874,"9/22/21","03:30:00","BRONX",46,0,"",FALSE,"","","","18-24","M","BLACK",1011755,250279,40.85359837,-73.90057688,701
227182807,"4/21/21","01:15:00","MANHATTAN",34,0,"",TRUE,"25-44","M","BLACK","18-24","M","WHITE HISPANIC",1006930,254095,40.86408585,-73.91800528,343
232497425,"8/19/21","13:49:00","BROOKLYN",69,0,"",FALSE,"25-44","M","BLACK","18-24","M","BLACK",1015294,173667,40.64330623,-73.88813782,631
233429422,"9/11/21","15:13:00","BROOKLYN",73,0,"",FALSE,"25-44","M","BLACK","25-44","M","BLACK",1006376,181512,40.6648658,-73.92024709,631
232887623,"8/27/21","01:50:00","MANHATTAN",34,0,"",TRUE,"25-44","M","BLACK","25-44","M","BLACK",1007258,255280,40.86733747,-73.91681538,343
230287864,"7/1/21","02:20:00","BRONX",47,0,"",FALSE,"25-44","M","BLACK","25-44","M","BLACK",1032443,262435,40.88687413,-73.825707,701
229507141,"6/11/21","16:05:00","BRONX",40,0,"",TRUE,"25-44","M","BLACK","25-44","M","BLACK",1007956,233989,40.80889802,-73.91436699,701
227431725,"4/27/21","18:15:00","BRONX",47,0,"",TRUE,"25-44","M","BLACK","25-44","F","WHITE",1021249,260648,40.88202341,-73.86620094,701
222772732,"1/7/21","04:20:00","MANHATTAN",25,0,"MULTI DWELL - PUBLIC HOUS",FALSE,"","","","18-24","M","BLACK",1002966,230790,40.80012963,-73.93240155,343
231810236,"8/3/21","01:00:00","QUEENS",101,2,"MULTI DWELL - PUBLIC HOUS",TRUE,"","","","25-44","M","BLACK",1044074,156299,40.59548718,-73.78458649,296
229904043,"6/22/21","02:39:00","STATEN ISLAND",120,0,"PVT HOUSE",TRUE,"25-44","M","WHITE HISPANIC","18-24","F","WHITE HISPANIC",960272,171100,40.6362823,-74.08639441,40
225602526,"3/13/21","22:03:00","MANHATTAN",32,0,"",FALSE,"","","","25-44","M","BLACK",1000196,237925,40.81971866,-73.9423895,343
229161013,"6/5/21","17:50:00","BRONX",44,0,"",FALSE,"<18","M","BLACK","<18","F","WHITE HISPANIC",1007847,245236,40.83976813,-73.91472118,701
224744462,"2/23/21","19:50:00","BROOKLYN",70,0,"COMMERCIAL BLDG",FALSE,"","","","25-44","M","BLACK",995107,175859,40.64937054,-73.9608759,631
225601140,"3/13/21","03:50:00","BROOKLYN",90,0,"BAR/NIGHT CLUB",FALSE,"18-24","M","BLACK HISPANIC","45-64","M","WHITE HISPANIC",1001951,195081,40.70211956,-73.93616159,631
229188686,"6/6/21","02:00:00","BRONX",46,0,"MULTI DWELL - APT BUILD",TRUE,"25-44","M","WHITE HISPANIC","25-44","M","BLACK",1013266,253128,40.86141318,-73.89510262,701
235740735,"10/31/21","00:50:00","BRONX",49,0,"",FALSE,"","","","18-24","M","BLACK",1023113,256116,40.86957647,-73.8594864,701
233080845,"9/2/21","17:42:00","BRONX",41,0,"",FALSE,"18-24","M","BLACK","18-24","M","BLACK",1014604,238800,40.82208253,-73.89033033,701
231110270,"7/20/21","17:30:00","MANHATTAN",23,0,"",FALSE,"","","","18-24","M","BLACK",998940,228642,40.79424156,-73.94694766,343
